年月,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額
9501,941129000000,1532720000000,2473849000000,595202000000,948703000000,1543905000000,345927000000,584017000000,929944000000
9502,963019000000,1545662000000,2508681000000,611895000000,946466000000,1558361000000,351124000000,599196000000,950320000000
9503,940782000000,1629006000000,2569788000000,587614000000,1020036000000,1607650000000,353168000000,608970000000,962138000000
9504,975302000000,1670623000000,2645924000000,625771000000,1050673000000,1676445000000,349531000000,619950000000,969479000000
9505,912127000000,1722733000000,2634860000000,575607000000,1094898000000,1670505000000,336520000000,627835000000,964355000000
9506,942770000000,1749042000000,2691813000000,597102000000,1110997000000,1708099000000,345668000000,638045000000,983714000000
9507,933261000000,1778268000000,2711528000000,566671000000,1130509000000,1697180000000,366590000000,647759000000,1014348000000
9508,908352000000,1805516000000,2713869000000,555166000000,1122339000000,1677505000000,353186000000,683177000000,1036364000000
9509,898783000000,1816955000000,2715738000000,546522000000,1092991000000,1639513000000,352261000000,723964000000,1076225000000
9510,949153000000,1803911000000,2753063000000,580995000000,1086450000000,1667446000000,368158000000,717461000000,1085617000000
9511,989134000000,1885209000000,2874342000000,626824000000,1162131000000,1788954000000,362310000000,723078000000,1085388000000
9512,986294000000,1932387000000,2918681000000,608139000000,1199171000000,1807309000000,378155000000,733216000000,1111372000000
9601,990694000000,1923279000000,2913974000000,628098000000,1193092000000,1821190000000,362596000000,730187000000,1092784000000
9602,1019376000000,1941789000000,2961165000000,628118000000,1203880000000,1831998000000,391258000000,737909000000,1129167000000
9603,957901000000,2049343000000,3007244000000,597687000000,1274225000000,1871912000000,360214000000,775118000000,1135332000000
9604,983976000000,2101368000000,3085344000000,615096000000,1318292000000,1933388000000,368880000000,783076000000,1151956000000
9605,1026514000000,2189822000000,3216337000000,663816000000,1391226000000,2055042000000,362698000000,798596000000,1161295000000
9606,1046151000000,2191611000000,3237761000000,673721000000,1388709000000,2062430000000,372430000000,802902000000,1175331000000
9607,1044019000000,2140732000000,3184751000000,674331000000,1309320000000,1983651000000,369688000000,831412000000,1201100000000
9608,1034231000000,2243513000000,3277744000000,660727000000,1364922000000,2025650000000,373504000000,878591000000,1252094000000
9609,1091421000000,2242999000000,3334420000000,713094000000,1343277000000,2056371000000,378327000000,899722000000,1278049000000
9610,1099969000000,2246767000000,3346735000000,719665000000,1357831000000,2077496000000,380304000000,888936000000,1269239000000
9611,1085816000000,2278914000000,3364730000000,712505000000,1378941000000,2091446000000,373311000000,899973000000,1273284000000
9612,1098833000000,2322627000000,3421460000000,706766000000,1384281000000,2091048000000,392067000000,938346000000,1330412000000
9701,1148299000000,2371401000000,3519700000000,758920000000,1445379000000,2204299000000,389379000000,926022000000,1315401000000
9702,1181044000000,2341414000000,3522458000000,778992000000,1439027000000,2218018000000,402052000000,902387000000,1304440000000
9703,1025433000000,2282679000000,3308112000000,726152000000,1386940000000,2113092000000,299281000000,895739000000,1195020000000
9704,1104426000000,2297330000000,3401756000000,734940000000,1405232000000,2140173000000,369486000000,892098000000,1261583000000
9705,1123354000000,2287923000000,3411277000000,747310000000,1393212000000,2140522000000,376044000000,894711000000,1270755000000
9706,1107652000000,2233684000000,3341336000000,732258000000,1367224000000,2099481000000,375394000000,866460000000,1241855000000
9707,1095296000000,2281477000000,3376773000000,719407000000,1392913000000,2112320000000,375889000000,888564000000,1264453000000
9708,1141900000000,2343962000000,3485862000000,743544000000,1415049000000,2158593000000,398356000000,928913000000,1327269000000
9709,1198774000000,2447193000000,3645967000000,790655000000,1463066000000,2253720000000,408119000000,984127000000,1392247000000
9710,1169344000000,2608534000000,3777878000000,778232000000,1582524000000,2360756000000,391112000000,1026010000000,1417122000000
9711,1237042000000,2645844000000,3882886000000,818190000000,1591322000000,2409512000000,418852000000,1054522000000,1473374000000
9712,1256238000000,2706681000000,3962919000000,816016000000,1639672000000,2455687000000,440222000000,1067009000000,1507232000000
9801,1259021000000,2620396000000,3879416000000,788394000000,1562847000000,2351241000000,470627000000,1057549000000,1528175000000
9802,1439144000000,2735466000000,4174610000000,914483000000,1638786000000,2553269000000,524661000000,1096680000000,1621341000000
9803,1482091000000,2634013000000,4116104000000,950250000000,1573714000000,2523964000000,531841000000,1060299000000,1592140000000
9804,1498143000000,2587188000000,4085331000000,967357000000,1539850000000,2507207000000,530786000000,1047338000000,1578124000000
9805,1527750000000,2536781000000,4064530000000,972185000000,1520769000000,2492955000000,555565000000,1016012000000,1571575000000
9806,1561852000000,2480492000000,4042344000000,1006999000000,1455228000000,2462228000000,554853000000,1025264000000,1580116000000
9807,1612697000000,2419373000000,4032070000000,1033302000000,1396190000000,2429492000000,579395000000,1023183000000,1602578000000
9808,1641684000000,2389034000000,4030717000000,1033395000000,1381681000000,2415076000000,608289000000,1007353000000,1615641000000
9809,1709262000000,2317800000000,4027062000000,1087962000000,1341049000000,2429011000000,621300000000,976751000000,1598051000000
9810,1726316000000,2285088000000,4011404000000,1099286000000,1305175000000,2404462000000,627030000000,979913000000,1606942000000
9811,1752665000000,2232654000000,3985319000000,1116152000000,1277710000000,2393862000000,636513000000,954944000000,1591457000000
9812,1869269000000,2183080000000,4052349000000,1220569000000,1278402000000,2498970000000,648700000000,904678000000,1553379000000
9901,1854213000000,2112038000000,3966251000000,1229857000000,1240747000000,2470604000000,624356000000,871291000000,1495647000000
9902,1906817000000,2036698000000,3943515000000,1245510000000,1183629000000,2429139000000,661307000000,853069000000,1514376000000
9903,1917286000000,2071009000000,3988295000000,1253965000000,1224668000000,2478633000000,663321000000,846341000000,1509662000000
9904,1908139000000,2001865000000,3910004000000,1253097000000,1181610000000,2434707000000,655042000000,820255000000,1475297000000
9905,1817517000000,2080646000000,3898163000000,1161028000000,1241843000000,2402871000000,656489000000,838803000000,1495292000000
9906,1822666000000,2094682000000,3917348000000,1169661000000,1239109000000,2408770000000,653005000000,855573000000,1508578000000
9907,1893348000000,2040672000000,3934020000000,1221670000000,1181655000000,2403325000000,671678000000,859017000000,1530695000000
9908,1946123000000,2013580000000,3959703000000,1244976000000,1143054000000,2388030000000,701147000000,870526000000,1571673000000
9909,2108669000000,1986205000000,4094874000000,1373256000000,1140281000000,2513537000000,735413000000,845924000000,1581337000000
9910,2246377000000,1982090000000,4228467000000,1492118000000,1150552000000,2642670000000,754259000000,831538000000,1585797000000
9911,2221971000000,2021525000000,4243496000000,1475336000000,1178892000000,2654228000000,746635000000,842633000000,1589268000000
9912,2299852000000,2033200000000,4333051000000,1509869000000,1203911000000,2713780000000,789983000000,829289000000,1619271000000
10001,2168341000000,1847484000000,4015825000000,1452322000000,1108971000000,2561293000000,716019000000,738513000000,1454532000000
